Date;Libellé;Montant;Compte
01/07/2026;Virement client Al Amal;12500.00;411000
06/07/2026;Prélèvement Maroc Telecom;-1840.50;626000
07/07/2026;Règlement fournisseur Afriquia;-3275.00;401000
10/07/2026;Frais carte entreprise;-126.00;627000
13/07/2026;Virement salaire équipe;-8900.00;421000
16/07/2026;Loyer bureau Maarif;-7800.00;613000
19/07/2026;COTISATION CNSS;-4620.00;444100
22/07/2026;Eau et électricité Lydec;-960.00;606000
26/07/2026;Écriture à vérifier;-184.50;658000
30/07/2026;Écriture à vérifier;-1425.00;658000
